"Time","LSE-01","LSE-02","LSE-03","LSE-04","LSE-05","LSE-06","LSE-07","LSE-08","LSE-09","LSE-10","LSE-11","LSE-12","LSE-13","LSE-14","LSE-15","LSE-16","LSE-17","LSE-18","LSE-19","LSE-20","LSE-21","LSE-22","LSE-23","LSE-24","LSE-25","LSE-26","LSE-27","LSE-28","LSE-29","LSE-30"
2022-05-25 11:01:14,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
2022-05-25 11:01:32,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,
2022-05-25 11:01:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,
2022-05-25 11:02:32,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:02:56,,,,,,,,,,,,8.79,,,,,,,,,,,,,,,,,,
2022-05-25 11:03:01,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:03:13,,,,,,,,,,,,,,,,,,,9.99,,,,,,,,,,,
2022-05-25 11:05:00,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:05:37,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,
2022-05-25 11:07:17,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:07:27,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:07:50,,,,,,,,,,,,,,,,9.11,,,,,,,,,,,,,,
2022-05-25 11:07:57,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:08:10,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,
2022-05-25 11:09:03,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,
2022-05-25 11:09:09,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,
2022-05-25 11:13:12,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,,,
2022-05-25 11:13:32,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,
2022-05-25 11:13:49,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,
2022-05-25 11:16:03,,,,,,,,,,,,,,,,,,,,,9.70,,,,,,,,,
2022-05-25 11:16:30,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,
2022-05-25 11:16:37,,,,,,,,,,9.74,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:17:26,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:17:43,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,
2022-05-25 11:18:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,11.6
2022-05-25 11:18:40,,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:19:28,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,
2022-05-25 11:19:30,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,
2022-05-25 11:19:55,,,,,8.80,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:21:14,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
2022-05-25 11:21:31,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,
2022-05-25 11:21:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,
2022-05-25 11:22:32,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:22:56,,,,,,,,,,,,8.81,,,,,,,,,,,,,,,,,,
2022-05-25 11:23:01,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:23:13,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
2022-05-25 11:25:00,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:25:37,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,
2022-05-25 11:27:17,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:27:50,,,,,,,,,,,,,,,,9.13,,,,,,,,,,,,,,
2022-05-25 11:27:57,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:28:10,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,
2022-05-25 11:29:10,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,
2022-05-25 11:33:12,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,,,
2022-05-25 11:33:31,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,
2022-05-25 11:33:50,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,
2022-05-25 11:36:03,,,,,,,,,,,,,,,,,,,,,9.73,,,,,,,,,
2022-05-25 11:36:29,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,
2022-05-25 11:36:36,,,,,,,,,,9.78,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:37:26,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:37:43,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,
2022-05-25 11:38:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,11.6
2022-05-25 11:38:40,,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:39:28,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,
2022-05-25 11:39:30,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,
2022-05-25 11:39:55,,,,,8.80,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:41:14,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
2022-05-25 11:41:31,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,
2022-05-25 11:41:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,
2022-05-25 11:42:32,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:42:56,,,,,,,,,,,,8.81,,,,,,,,,,,,,,,,,,
2022-05-25 11:43:01,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,
